year;month;day;Rm_minus_Rf;SMB;HML;IML;WML;Risk_free
2017;1;12;0.022865223;0.0062498;0.019863648;0.009917108;0.017516043;0.000480186
2017;1;13;-0.005072108;0.008065741;0.014622628;0.004805679;0.00357043;0.000479835
2017;1;16;0.001787583;0.01425625;0.018390952;0.022487527;-0.003775173;0.000479483
2017;1;17;0.009028723;0.002187952;0.009042419;0.01728414;-0.011469284;0.000479483
2017;1;18;-0.004160209;-0.004151941;-0.014054841;-0.000430229;-0.005603618;0.000479835
2017;1;19;-0.003646781;-0.016569786;-0.007396318;-0.013951918;-0.006601779;0.000479131
2017;1;20;0.009086092;0.00915766;0.006050529;0.00620449;0.006197085;0.000478779
2017;1;23;0.01621238;-0.01135694;0.012880336;-0.00783512;0.007848592;0.000478075
2017;1;24;0.001963554;0.005508088;-0.000991981;0.003380634;0.007022686;0.000478427
2017;1;26;0.00640271;0.00969565;0.002457747;0.010973882;-0.001191353;0.000478427
2017;1;27;-0.002840898;0.001404785;0.007037117;0.008185972;-0.00081635;0.000478427
2017;1;30;-0.025248984;-0.00083591;-0.012683298;-0.004859943;-0.003920235;0.000478075
2017;1;31;0.006371638;0.016362647;0.02085536;0.014618395;0.010015862;0.000477019
2017;2;1;0.003229884;0.003268057;0.013314115;0.004341511;-0.002381966;0.000475963
2017;2;2;-0.004433266;0.004897804;-0.00246883;-0.001400136;0.000991391;0.000474554
2017;2;3;0.007367855;0.003640447;0.003519294;0.003449753;-0.004276502;0.000473849
2017;2;6;-0.013427196;0.010036672;0.002916156;0.010367634;-0.002235586;0.000471382
2017;2;7;0.002420747;-0.007296576;-0.005492168;-0.0046379;0.002560446;0.000469972
2017;2;8;0.009222947;-0.002728323;-0.000676258;-0.000373159;-0.000338631;0.000468208
2017;2;9;0.00123909;0.010538734;0.008313036;0.00945805;0.004432637;0.000467149
2017;2;10;0.016156984;-0.001587386;0.016259421;0.003046387;0.022036005;0.000466443
2017;2;13;0.009825385;0.004975883;0.001122886;0.006379313;0.015163384;0.000464325
2017;2;14;-0.003253554;0.001190532;-0.006416443;0.002798742;0.003368855;0.000462912
2017;2;15;0.018463537;-0.002743464;-0.001803862;-0.004029004;0.005438953;0.000461145
2017;2;16;-0.001634914;0.005918426;0.003172065;0.010383476;0.002533947;0.000460084
2017;2;17;-0.001425552;0.00628577;0.001899537;0.009012666;0.005374631;0.000459024
2017;2;20;0.00965207;0.003532329;0.009171791;0.007539711;0.019310787;0.000457255
2017;2;21;0.00784983;-0.003865084;0.005375534;-0.00321113;0.00668348;0.000455486
2017;2;22;-0.005640894;-0.002239107;-0.012662353;-0.002304444;-0.003472604;0.000454424
2017;2;23;-0.014786778;-0.003177635;-0.021299971;-0.001603868;0.011726715;0.000454424
2017;2;24;-0.011308741;0.005875907;0.007452702;0.004543514;-0.004878278;0.000454424
2017;3;1;0.00486866;0.016712293;0.011312557;0.017542897;0.002723777;0.000454424
2017;3;2;-0.016425267;-0.000660675;0.000819627;-0.001766808;-0.013246886;0.000454424
2017;3;3;0.013280052;-0.00117687;0.011740958;-0.003381313;0.00629982;0.000454424
2017;3;6;-0.005651946;0.021896999;0.011770218;0.025955424;0.009169957;0.000453007
2017;3;7;-0.01087628;0.009385466;0.006250965;-0.002164516;-0.00170915;0.000452299
2017;3;8;-0.013683771;-0.010663508;-0.014982159;-0.010844012;-0.016684785;0.000451236
2017;3;9;-0.001998931;1.38508E-05;-0.006432455;-0.00589913;-0.008695299;0.000450527
2017;3;10;-0.000507393;0.00446867;-0.007492613;0.002913862;0.001577766;0.000450173
2017;3;13;0.011068916;-0.005734893;0.008929504;-0.004911024;-0.002610835;0.0004484
2017;3;14;-0.012826787;0.003790958;-0.004017054;0.00482004;-0.001618591;0.000447691
2017;3;15;0.020573683;-0.003599537;0.006302569;-0.004174332;0.011228177;0.000446981
2017;3;16;-0.005285579;0.001411005;-0.01252149;0.003317023;-0.009788122;0.000446981
2017;3;17;-0.023128456;0.011688455;-0.012352853;0.006894347;-0.001737803;0.000446627
2017;3;20;0.010665901;-0.022662271;-0.00340751;-0.008636847;-0.000404007;0.000444853
2017;3;21;-0.026284944;-0.000310946;-0.020488109;-0.000918075;-0.021003861;0.000443788
2017;3;22;0.007793682;-0.000205911;0.006319481;0.000957038;0.01455503;0.000442722
2017;3;23;0.000611866;0.011417142;0.001272181;0.006006755;-0.003706276;0.000442367
2017;3;24;0.003819326;-0.014190951;-0.013806531;-0.015195441;-0.001969834;0.000441302
2017;3;27;0.006044515;0.001635035;0.001390944;-0.0027829;0.002237908;0.000439881
2017;3;28;0.004555353;-0.002734607;-0.006865679;-5.43515E-05;-0.007825058;0.00043917
2017;3;29;0.013036962;0.005343797;0.001910349;0.005186661;0.008246265;0.000437748
2017;3;30;-0.003796756;0.007363196;0.005766153;0.008693691;0.000492752;0.000437392
2017;3;31;-0.003189221;0.004054605;0.000414355;0.007812812;-0.003910655;0.000435614
2017;4;3;0.00273879;0.001085319;-0.001934998;0.002205394;-0.000893178;0.000434191
2017;4;4;0.006850265;-0.003279412;-0.004496826;-0.002430251;-0.000133213;0.000432411
2017;4;5;-0.014383153;0.001218408;-0.014795943;-0.001102429;0.000808862;0.000430275
2017;4;6;-0.008014014;-0.000627128;-0.013357381;-0.001201048;-0.004338557;0.000428493
2017;4;7;0.00537617;0.001624561;-0.002155532;0.001840219;0.009009138;0.000426711
2017;4;10;-0.000163636;0.004756447;-0.003473464;0.002791523;-0.003953553;0.000423858
2017;4;11;-0.004810884;0.001545056;0.001575035;0.002831045;0.004648104;0.000421716
2017;4;12;-0.006003361;-6.7798E-05;-0.011004291;0.000418564;-0.012115329;0.000419931
2017;4;13;-0.013896799;0.011826465;-0.002168514;0.013018088;-0.004575776;0.00041886
2017;4;17;0.021646079;0.001409073;0.009221258;-0.005980764;0.007404975;0.00041886
2017;4;18;-0.002439397;-0.002682323;-0.009526839;-0.001031416;-0.000163794;0.00041886
2017;4;19;-0.01073167;0.009742412;-0.00410191;0.013253507;-0.005552758;0.00041886
2017;4;20;0.004060605;-0.003869625;-0.000733402;-0.010073651;-0.00149083;0.00041886
2017;4;24;0.008338346;-0.003112519;0.000826182;-0.001661931;0.00068631;0.00041886
2017;4;25;0.012221695;0.000455637;0.003703866;0.001168416;0.001648149;0.000418502
2017;4;26;-0.003922168;-0.00462056;-0.003403233;0.000823292;0.001256217;0.000419217
2017;4;27;-0.003092108;0.002428056;-0.011123111;0.001183304;0.003255404;0.00041886
2017;4;28;0.011492507;0.004934067;-0.001278756;0.004914468;0.007845846;0.00041886
2017;5;2;0.018339995;0.003203969;0.004628038;0.001983924;0.001229852;0.00041886
2017;5;3;-0.007623856;0.015803162;-0.001581982;0.015403281;-0.005499587;0.000417073
2017;5;4;-0.016661121;0.001841109;-0.023346569;0.002665298;-0.013996559;0.000415643
2017;5;5;0.010429983;-0.00026659;0.004718749;-0.003568416;0.006795044;0.000415286
2017;5;8;-0.002455808;0.007159391;-0.009288145;0.006748396;-0.003450098;0.000412066
